英文,全称/缩写,中文释义
Absolute,,绝对
Access,,存取
Access time,,存取时间
Accompanying,,陪同，伴随
According to,,根据
Accuracy,,准确性
Acquire,,获得
Active-matrix,,主动矩阵
Adapter cards,,适配卡
Add-ons,,插件
Address,,地址
Ad network cookies,,广告网络信息记录软件
Advanced application,,高级应用
Agents,,代理
Allocated,,分配
Analog signals,,模拟信号
Analytical graph,,分析图表
Analyze,,分析
Animations,,动画
Append,,追加，添加
Applets,,程序
Application software,,应用软件
Appropriate,,适当的
Architectures,,布局，格局
Argument,,论据，参数
Arithmetic operations,,算术运算
Arranges,,安排
Assembler,,汇编语言，装配器
Assign,,分配
Associate with,,联合
Asynchronous communications port,,异步通信端口
At least,,至少
Attach,,系上，贴上
Attachment,,附件
Attempt,,尝试
Attribute,,属性
Audio-output device,,音频输出设备
Automatically,,自动地
Available,,有用的
Backup tape cartridge units,,备份磁带盒单元
Bandwidth,,带宽
Bar code,,条形码
Bar code reader,,条形码读卡器
Basic application,,基础程序
Behavior,,行为
Below,,在…下面
Binary,,二进制
Binary coding schemes,,二进制译码方案
Binary system,,二进制系统
Bind,,绑定
Bit,,比特
Blocked,,堵塞的
Bluetooth,,蓝牙
Broadband,,宽带
Browser,,浏览器
Bus line,,总线
Business-to-business,,企业对企业电子商务
Business-to-consumer,,企业对消费者
Byte,,字节
Cables,,连线
Cable modems,,有线调制解调器
Cache,,隐藏，缓存
Carpal tunnel syndrome,,腕骨神经综合症
Cause,,引起
CD-ROM,,可记录光盘
CD-RW,,可重写光盘
CD-R,,可记录压缩光盘
Cell,,单元箱
Chain printer,,链式打印机
Channel,,信道
Character and recognition device,,字符标识识别设备
Characteristics,,特性
Chart,,图表
Chassis,,支架
Chat group,,谈话群组
Check,,检查
Chip,,芯片
Chlorofluorocarbons,CFCs,氯氟甲烷
Clarity,,清晰度
Client,,客户端
Closed architecture,,封闭式体系结构
Coaxial cable,,同轴电缆
Cold site,,冷网站
Column,,列
Combination,,结合，联合
Combination key,,结合键
Command,,命令
Commerce servers,,商业服务器
Communication channel,,信道
Communication systems,,信息系统
Compact disc,,光盘
Completed,,完整的
Computer abuse amendments act of 1994,,计算机滥用法案
Computer competency,,计算机能力
Computer crime,,计算机犯罪
Computer ethics,,计算机道德
Computer fraud and abuse act of 1986,,计算机欺诈和滥用法案
Computer matching and privacy protection act of 1988,,计算机查找和隐私保护法案
Computer network,,计算机网络
Computer support specialist,,计算机支持专家
Computer technician,,计算机技术人员
Computer trainer,,计算机教师
Computing,,计算，使用计算机
Condition,,条件，环境
Config,,配置
Connect,,连接
Connectivity,,连接，结点
Connection device,,连接设备
Considered,,考虑过的
Consist,,组成
Consumer-to-consumer,,个人对个人
Contain,,包含
Continuous-speech recognition system,,连续语言识别系统
Control,,控制
Control unit,,操纵单元
Converts,,转换
Cookies-cutter programs,,信息记录截取程序
Cookies,,信息记录程序
Cordless or wireless mouse,,无线鼠标
Corresponding,,符合的，对应的
Cracker,,解密高手
Cumulative trauma disorder,,积累性损伤错乱
Current,,当前的
Cybercash,,电子现金
Cyberspace,,计算机空间
Cynic,,愤世嫉俗者
Database,,数据库
Database files,,数据库文件
Database manager,,数据库管理
Data bus,,数据总线
Datagrams,,数据报
Data projector,,数码放映机
Date,,日期
Decrement,,减少量
Define,,定义，详细说明
Delivered,,传递
Dependency,,依靠，附属地
Detaches,,分离
Directive,,指挥的，管理的
Describe,,描述
Descriptor,,描述符
Desktop system unit,,台式电脑系统单元
Destination file,,目标文件
Device-dependent,,独立设备
Details,,细节
Determined,,决定的
Digital cameras,,数码照相机
Digital notebooks,,数字笔记本
Digital bideo camera,,数码摄影机
Disallowed,,不允许
Discrete-speech recognition system,,不连续语言识别系统
Distinct,,清楚的，明显的
Document,,文档
Document files,,文档文件
Domain,,范围
Dot-matrix printer,,点矩阵式打印机
Dual-scan monitor,,双向扫描显示器
Dumb terminal,,非智能终端
Duplicating,,副本，复制
During,,在…期间
Data security,,数据安全
Data transmission specifications,,数据传输说明
Database administrator,,数据库管理员
Datagram,,数据电报
Dataplay,,数字播放器
Demodulation,,解调
Denial of service attack,,拒绝服务攻击
Dial-up service,,拨号服务
Digital cash,,数字现金
Digital signals,,数字信号
Digital subscriber line,,数字用户线路
Digital versatile disc,,数字化通用磁盘
Digital video disc,,数字化视频光盘
Direct access,,直接存取
Directory,,目录
Directory search,,目录搜索
Disaster recovery plan,,灾难恢复计划
Disk caching,,磁盘驱动器高速缓存
Diskette,,磁盘
Disk,,磁碟
Distributed data processing system,,分部数据处理系统
Distributed processing,,分布处理
Domain code,,域代码
Downloading,,下载
Dynamic,,动态的
DVD,digital bersatile,数字化通用磁盘；数字化通用光盘
DVD-R,,可写DVD
DVD-RAM DVD,,随机存取器
DVD-ROM,,只读DVD
E-book,,电子阅读器
Expansion cards,,扩展卡
End user,,终端用户
E-cash,,电子现金
E-commerce,,电子商务
Effect,,效果，影响
Effective,,有效的
Elapsed,,过去，消逝
Electronic cash,,电子现金
Electronic commerce,,电子商务
Electronic communications privacy act of 1986,,电子通信隐私法案
Element,,成分，要素
Encrypting,,加密术
Endpoint,,端点
Energy star,,能源之星
Entry,,进入
Enterprise computing,,企业计算化
Environment,,环境
Equivalent,,等价物
Erasable optical disks,,可擦除式光盘
Ergonomics,,人类工程学
Error,,错误
Ethics,,道德规范
Exact,,准确的
Execute,,执行
Existing,,现存的
Expires,,期满，断气
External modem,,外置调制解调器
Extra,,额外的
Extract,,吸取
Extranet,,企业外部网
Extended,,扩展的
Fax machine,,传真机
Fetch,,拿来
Field,,域
File,,文件
Filename,,文件名
Find,,搜索
Fire Wire port,,火线端口
Firmware,,固件
Flag,,旗帜，标志
Flash RAM,,闪存
Flatbed scanner,,台式扫描器
Flat-panel monitor,,纯平显示器
Floppy disk,,软盘
Formatting toolbar,,格式化工具条
Formula,,公式
Function,,函数
Fair credit reporting act of 1970,,公平信用报告法案
Fiber-optic cable,,光纤电缆
File compression,,文件压缩
File decompression,,文件解压缩
Filter,,过滤
Firewall,,防火墙
Fixed disk,,固定硬盘
Flash memory,,闪存
Flexible disk,,可折叠磁盘
Floppies,,磁盘
Floppy-disk cartridge,,磁盘盒
Format,,格式
Formatting,,格式化
Foundation,,基础，根据，建立
Free,,自由的，免费的
Freedom of information act of 1970,,信息自由法案
Frequency,,频率
Frustrated,,受挫折
Full-duplex communication,,全双通通信
General-purpose application,,通用运用程序
Generate,,产生，导致
Gigahertz,,千兆赫
Graphic tablet,,绘图板
Grants,,授予
Green pc,,绿色个人计算机
Group,,组
Handle,,把柄，把手，记号
Handheld computer,,手提电脑
Hard copy,,硬拷贝
Hard disk,,硬盘
Hardware,,硬件
Help,,帮助
Host computer,,主机
Home page,,主页
Hyperlink,,超链接
Hacker,,黑客
Half-duplex communication,,半双通通信
Hard-disk cartridge,,硬盘盒
Hard-disk pack,,硬盘组
Head crash,,磁头碰撞
Header,,标题
Help desk specialist,,帮助办公专家
Helper applications,,帮助软件
Hierarchical network,,层次型网络
Historically,,从历史角度
History file,,历史文件
Hits,,匹配记录
Horizontal portal,,横向用户
Host,,主机
Hot site,,热网站
Hybrid network,,混合网络
Identify,,识别
Identifier,,识别符
Identity,,统一性，一致
Identical,,完全相似的
Ignored,,忽略的，不理会的
Image capturing device,,图像获取设备
Immediately,,立即
Implement,,实现，工具
Implementation,,成就
Include,,包含
Increment,,增加
Indicated,,指出
Individual,,个别的，独特的
Information technology,,信息技术
Inherited,,遗传的
Initialization,,初始化
Ink-jet printer,,墨水喷射印刷机
Integrated package,,综合性组件
Intelligent terminal,,智能终端设备
Intergrated circuit,,集成电路
Intended,,故意的
Internet,,网络
Interface,,接口
Interface cards,,接口卡
Internal modem,,内部调制解调器
Interpret,,解释，说明
Interprocess,,进程间的
Interrupted,,中断的，不对称的
Interval,,间隔，距离
line,,行列
Internet telephony,,网络电话
Internet terminal,,互联网终端
Invalid,,无效的
Invocation,,祈祷
Invoke,,实行，要求
Involved,,复杂的，有关的
Identification,,识别
I-drive,,网络硬盘驱动器
Illusion of anonymity,,匿名幻想
Index search,,索引搜索
Information pushers,,信息推送器
Initializing,,初始化
Instant messaging,,计时信息
Internal hard disk,,内置硬盘
Internet hard drive,,网络硬盘驱动器
Intranet,,企业内部网
Issued,,发行，放出
Joystick,,操纵杆
Kernel,,内核，种子
Keyword search,,关键字搜索
Language,,语言
Laser printer,,激光打印机
Layout files,,版式文件
Lazy,,懒惰的
Library,,图书馆，集合
Light pen,,光笔
Link,,联系，连接
Loader,,装货机，加载者
Locale,,现场
Locate,,定位
Logical operations,,逻辑运算
Lands,,凸面
Line of sight communication,,视影通信
Low bandwidth,,低带宽
Lurking,,潜伏
Main board,,主板
Manual,,手册，手动的
Manipulation,,操作，处理
Mapping,,映射
Mark,,标记
Mark sensing,,标志检测
Mask,,伪装，屏蔽
Mechanical mouse,,机械鼠标
Memory,,内存
Menu,,菜单
Menu bar,,菜单条
Message,,消息
Microprocessor,,微处理器
Microseconds,,微秒
Mode,,模式
Modem card,,调制解调器
Modification,,修改，缓和
Modify,,修改
Monitor,,显示器
Motherboard,,主板
Mouse,,鼠标
Multifunctional device,,多功能设备
Magnetic tape reels,,磁带卷
Magnetic tape streamers,,磁带条
Mailing list,,邮件列表
Medium band,,媒质带宽
Metasearch engine,,整合搜索引擎
Microwave,,微波
Modem,,解调器
Modulation,,解调
Necessary,,必要的
Net PC,,网络计算机
Network,,网络
Network adapter card,,网卡
Network personal computer,,网络个人电脑
Network terminal,,网络终端
Notation,,标记法
Notebook computer,,笔记本电脑
Notebook system unit,,笔记本系统单元
Numeric entry,,数字输入
National information infrastructure protection act of 1996,,国际信息保护法案
National service provider,,全国性服务供应商
Network architecture,,网络体系结构
Network bridge,,网桥
Network gateway,,网关
Network manager,,网络管理员
Newsgroup,,新闻组
No electronic theft act of 1997,,无电子盗窃法
Node,,节点
Nonnegative,,禁止转让的，不可谈判的
Nonvolatile storage,,非易失性存储
Normally,,正规地
Object embedding,,对象嵌入
Object linking,,目标链接
Obtain,,获得
Occur,,发生
Offset,,抵销，支派
Often,,经常
Open architecture,,开放式体系结构
Operation,,操作
Operating System,,操作系统
Optical disk,,光盘
Optical mouse,,光电鼠标
Optical scanner,,光电扫描仪
Optional,,可选择的
Order,,次序
Oriented,,以…为方向的，以…为目的的
Original,,最初的，原始的
Otherwise,,否则
Outline,,大纲
Output,,输出
Overwritten,,覆盖
Off-line browsers,,离线浏览器
Online storage,,联机存储
Pack,,包裹，背包
Palmtop computer,,掌上电脑
Parallel ports,,并行端口
Parent,,父亲
Parentheses,,括弧
Particular,,特别的
Passive,,消极的，被动的
Passive-matrix,,被动矩阵
Path,,路径
PC card,,个人计算机卡
Pedantic,,卖弄学问的，迂腐的
Pending,,迫近的，悬而未决的
Perform,,执行，表演
Personal laser printer,,个人激光打印机
Personal video recorder card,,个人视频记录卡
Photo printer,,照片打印机
Pixel,,像素
Pipe,,管道
Platform scanner,,平版式扫描仪
Plotter,,绘图仪
Plug and play,,即插即用
Plug-in boards,,插件卡
Plus,,正号，加号
Pointer,,指示器
Pointing stick,,指示棍
Poison,,毒药，毒害
Port,,端口
Portable,,可携带的，可移动的
Portable scanner,,便携式扫描仪
Possibly,,可能地，或者
Presence,,出席
Presentation files,,演示文稿
Presentation graphics,,电子文稿程序
Previous,,早先的
Primary storage,,主存
Procedures,,规程
Processor,,处理机
Produce,,生产，产生
Programming control lanugage,,程序控制语言
Protocol,,协议
Packets,,数据包
Parallel data transmission,,平行数据传输
Peer-to-peer network system,,点对点网络系统
Person-person auction site,,个人对个人拍卖站点
Physical security,,物理安全
Pits,,凹面
Plug-in,,插件程序
Polling,,轮询
Privacy,,隐私权
Precisely,,精确的
Proactive,,主动地
Process,,进程
Programmer,,程序员
Protection,,保护
Protocols,,协议
Provider,,供应商
Proxy server,,代理服务
Pull products,,推取程序
Push products,,推送程序
Queue,,队列
RAM cache,,随机高速缓冲器
Range,,范围
React,,起反应，反抗
Real,,真实的
Receipt,,收到，接到
Receptions,,接待，欢迎
Recipient,,接受者
Recognized,,公认的
Record,,记录
Regular,,规则的
Reference,,涉及
Refuse,,拒绝
Related,,有关的，相关的
Relational database,,关系数据库
Release,,释放
Reliable,,可靠的
Remaining,,剩余
Replace,,替换
Represent,,表现，展示
Reposition,,改变…的位置
Required,,必须的
Resolution,,分辨率
Resolve,,解决，决心
Respectively,,分别地，各自地
Resume,,继续，恢复
Row,,行
Readable,,易读的，清晰的
Read-only,,只读
Reformatting,,重组
Regional service provider,,区域性服务供应商
Repetitive motion injury,,反复性动作损伤
Retransmission,,重新翻译
Reverse directory,,反向目录
Right to financial privacy act of 1979,,财产隐私法案
Ring network,,环形网
Routine,,例行的，一般的常规
Scanner,,扫描器
Scheduled.,,预定的
Search,,查找
Second,,秒
Secondary storage device,,辅助存储设备
Segment,,部分，线段
Select,,选择
Semantics,,语义学
Semiconductor,,半导体
Semaphore,,信号
Sequence,,序列，顺序
Serial ports,,串行端口
Server,,服务器
Share,,均分，一份
Shared laser printer,,共享激光打印机
Sheet,,表格
Shut down,,关机
Significant,,重要的
Silicon chip,,硅片
Slots,,插槽
Smart card,,智能卡
Soft copy,,软拷贝
Software,,软件
Software suite,,软件协议
Sorting,,排序
Source file,,源文件
Special-purpose application,,专用文件
Specify,,明确说明
Spreadsheet,,电子数据表
Standard toolbar,,标准工具栏
Status,,状态
Stream,,流
Subsequent,,后来的，并发的
Success,,成功，胜利
Suitable,,合适的
Supercomputer,,巨型机
Support,,支持
Suspends,,中止
Symbol,,符号，象征
Synchronization,,同步
System cabine,,系统箱
System clock,,时钟
System software,,系统软件
Satellite,,卫星无线连接服务
Search engines,,搜索引擎
Search providers,,搜索供应者
Search services,,搜索服务器
Sectors,,扇区
Security,,安全
Sending and receiving devices,,发送接收设备
Sequential access,,顺序存取
Serial data transmission,,单向通信
Signature line,,签名档
Snoopware,,监控软件
Software copyright act of 1980,,软件版权法案
Software piracy,,软件盗版
Solid-state storage,,固态存储器
Specialized search engine,,专用搜索引擎
Spiders,,网页爬虫
Spike,,尖峰电压
Standard,,标准的
Star network,,星型网
State,,说明，规定，状态
Static,,静态的，静止的
Store,,存储
Strategy,,方案
Subject,,主题
Subscription address,,预定地址
Superdisk,,超级磁盘
Surfing,,网上冲浪
Surge protector,,浪涌保护器
Systems analyst,,系统分析师
Table,,二维表
Telephony,,电话学
Television boards,,电视扩展卡
Terminal,,终端
Template,,模板
Temporarily,,临时地，暂时地
Text entry,,文本输入
Thermal printer,,热印刷
Thin client,,瘦客
Thread,,线程
Toggle key,,触发键
Toolbar,,工具栏
Touch screen,,触摸屏
Trackball,,追踪球
Traditionally,,习惯上
Transmit,,传输
TV tuner card,,电视调谐卡
Two-state system,,双状态系统
Technical writer,,技术协作者
Technostress,,重压技术
Telnet,,远程登录
Temporary,,临时的
Time-sharing system,,分时系统
Topology,,拓扑结构
Tracks,,磁道
Truncated,,截取
Traditional cookies,,传统的信息记录程序
Twisted pair,,双绞
Unaffected.,,自然的
Unicode,,统一字符标准
Unidirectional,,单向的
Unique,,独特的
Uploading,,上传
Usenet,,世界性新闻组网络
Valid,,有效的
Variable,,可变的，变数
Version,,版本
Virtual memory,,虚拟内存
Video display screen,,视频显示屏
Voice recognition system,,声音识别系统
Vertical portal,,纵向门户
Video privacy protection act of 1988,,视频隐私权保护法案
Virus checker,,病毒检测程序
Virus,,病毒
Voiceband,,音频带宽
Volatile storage,,易失性存储
Voltage surge,,电涌
wait,,等待
Wand reader,,条形码读入
Wall,,警告
Web,,网络；万维网
Web appliance,,环球网设备
Web page,,网页
Web site address,,网络地址
Web terminal,,环球网终端
Webcam,,摄像头
What-if analysis,,假定分析
Wireless revolution,,无线革命
Word,,字长
Word processing,,文字处理
Word wrap,,自动换行
Worksheet file,,工作文件
Web auctions,,网上拍卖
Web broadcasters,,网络广播
Web portals,,门户网站
Web sites,,网站
Web storefront creation packages,,网上商店创建包
Web storefronts,,网上商店
Web utilities,,网上应用程序
Web-downloading utilities,,网页下载应用程序
Webmaster web,,站点管理员
Wireless modems,,无线调制解调器
Wireless service provider,,无线服务供应商
World wide web,,万维网
Worm,,蠕虫病毒
Write-protect notch,,写保护口
IT,information technology,信息技术
CD,compact disc,压缩盘
PDA,personal digital assistant,个人数字助理
RAM,random access memory,随机存储器
WWW,World Wide Web,万维网
DBMS,database management system,数据库管理系统
HTML,Hypertext Markup Language,超文本标示语言
OLE,object linking and embedding,对象链接入
SQL,structured query language,结构化查询语言
URL,uniform resouice locator,统一资源定位器
AGP,accelerated graphics port,加速图形接口
ALU,arithmetic-logic unit,算术逻辑单元
CPU,central processing unit,中央处理器
CMOS,complementary metal-oxide semiconductor,互补金属氧化物半导体
CISC,complex instruction set computer,复杂指令集计算机
HPSB,high performance serial bus,高性能串行总线
ISA,industry standard architecture,工业标准结构体系
PCI,peripheral component interconnect,外部设备互连总线
PCMCIA,Personal Memory Card International Association,个人计算机存储卡国际协会
ROM,read-only memory,只读存储器
USB,universal serial bus,通用串行总线
CRT,cathode-ray tube,阴极射线管
HDTV,high-definition television,高清晰度电视
LCD,liquid crystal display monitor,液晶显示器
MICR magnetic-ink character recognition,,磁墨水字符识别器
OCR,optical-character recognition,光电字符识别器
OMR,optical-mark recognition,光标阅读器
TFT,thin film transistor monitor,薄膜晶体管显示器
Zip disk,,压缩磁盘
Domain name system,DNS,域名服务器
File transfer protocol,FTP,文件传送协议
Hypertext markup language,HTML,超文本链接标识语言
Local area network,LAN,局域网
Internet relay chat,IRC,互联网多线交谈
Metropolitan area network,MAN,城域网
Network operation system,NOS,网络操作系统
Uniform resource locator,URL,统一资源定位器
Wide area network,WAN,广域网
Web server,,服务器
well-connected,,连接良好
well-known services,,公认的服务
"wide area network, WAN",,广域网
wildcard character,,通配符
wildcarding,,通配符方式
window menu,,窗口菜单
Windows 2000 Task Manager,,任务管理器
"Windows Internet Name Service, WINS",,命名服务
"Windows Management Instrumentation, WMI",,管理规范
Windows Media Services,,服务
"WINS, Windows Internet Name Service",,命名服务
WINS proxy,,代理
WINS resource,,资源
wireless communication,,无线通讯
"WMI, Windows Management Instrumentation",,管理规范
workgroup,,工作组
X.509v3 certificate,,证书
"XOR, exclusive OR",,异或
zone,,区域
zone list,,区域列表
zone transfer,,区域传送
TCP,Transmission Control Protocol,传输控制协议，基于连接的服务
UDP,User Datagram Protocol,用户数据报协议，无连接的服务
IP,Internet Protocol,Internet协议，信息传递机制
